lat,N/S,lon,E/W,PCellID,RSSNR,5PCellID,5SNR
47.15445332,N,27.59600063,E,185,11,105,3.5
47.15444567,N,27.59600803,E,185,10,105,1
47.15443347,N,27.59601422,E,185,10,105,1
47.15441913,N,27.59601913,E,185,11,105,1
47.15440625,N,27.59602435,E,185,9,105,1
47.15439772,N,27.59602818,E,185,11,105,1
47.15438978,N,27.59603383,E,185,10,105,1
47.15438182,N,27.59604048,E,185,11,105,1
47.15437398,N,27.5960473,E,185,12,105,1
47.15436187,N,27.59605508,E,185,12,105,1
47.15434532,N,27.59606415,E,185,11,105,1
47.15432552,N,27.59607343,E,185,8,105,1
47.15430253,N,27.59608345,E,185,8,105,1
47.15427972,N,27.59609318,E,185,6,105,1
47.15425862,N,27.59610087,E,185,8,105,1
47.15424183,N,27.59610737,E,185,7,152,3.5
47.15422693,N,27.59611527,E,185,5,152,3.5
47.15421157,N,27.59612372,E,185,5,152,3.5
47.15419438,N,27.59612942,E,185,5,152,3.5
47.15417678,N,27.59613282,E,185,3,152,3.5
47.15415978,N,27.59613557,E,185,4,152,3.5
47.15414323,N,27.59613832,E,185,4,152,3.5
47.15412602,N,27.59614228,E,185,3,152,3.5
47.15410838,N,27.59614658,E,185,3,152,3.5
47.1540899,N,27.59615163,E,185,2,152,3.5
47.15407123,N,27.59615788,E,185,2,152,3.5
47.15405323,N,27.59616378,E,185,4,152,3.5
47.15403502,N,27.59616933,E,185,2,152,3.5
47.15401515,N,27.59617427,E,185,2,152,3.5
47.15399162,N,27.59617975,E,185,4,105,2.5
47.15396615,N,27.59618788,E,185,1,152,-0.5
47.15394073,N,27.59619797,E,185,0,152,2
47.15391287,N,27.59621107,E,185,2,152,5.5
47.15388402,N,27.59622597,E,185,-1,152,1
47.15385775,N,27.59623828,E,185,0,152,0
47.15383078,N,27.59625023,E,185,5,105,-5.5
47.1537984,N,27.59625415,E,185,3,105,3
47.15375865,N,27.59625437,E,185,1,105,9
47.15371515,N,27.59626242,E,185,3,105,3
47.15367348,N,27.59627945,E,185,7,105,7.5
47.15362778,N,27.59630453,E,185,9,105,3.5
47.15358195,N,27.59632842,E,185,2,105,1.5
47.15354105,N,27.59634585,E,185,5,105,9.5
47.15350422,N,27.59636002,E,185,3,105,10
47.15347082,N,27.59637185,E,185,2,105,8.5
47.15345078,N,27.5963786,E,185,3,105,7.5
47.15342898,N,27.59637307,E,185,9,105,11.5
47.15340033,N,27.59637172,E,185,4,105,11
47.1533762,N,27.59632713,E,185,1,105,12.5
47.15335798,N,27.59626462,E,185,3,105,17
47.15333233,N,27.59616977,E,185,3,105,10.5
47.15331017,N,27.59607895,E,185,0,105,12
47.15328307,N,27.59596192,E,185,3,105,13.5
47.15325533,N,27.59582017,E,185,5,105,7
47.15321578,N,27.59563463,E,185,4,105,13
47.15317557,N,27.59543123,E,185,3,105,12
47.15313397,N,27.59522775,E,185,0,105,13
47.15308537,N,27.59501343,E,185,-4,105,16
47.15304203,N,27.59481018,E,185,-1,105,9
47.15300133,N,27.59461653,E,185,1,105,17
47.15296302,N,27.59444012,E,185,0,105,14.5
47.15293092,N,27.59427945,E,185,-2,105,13
47.15289468,N,27.59412253,E,185,-3,105,18.5
47.15286492,N,27.59397607,E,185,0,105,16
47.15283735,N,27.59384147,E,185,-2,105,17.5
47.15280753,N,27.59370978,E,185,-3,105,16.5
47.15277858,N,27.5935842,E,185,-3,105,14
47.15274933,N,27.59346293,E,185,-5,105,21
47.15272762,N,27.5933479,E,185,-4,105,18
47.15270073,N,27.59322895,E,185,-4,105,17
47.15267472,N,27.59311048,E,185,-5,105,15.5
47.15265355,N,27.59301748,E,185,-8,105,14
47.15264027,N,27.59294853,E,184,-1,105,13
47.1526264,N,27.59287942,E,184,-7,105,17.5
47.15260938,N,27.59281225,E,184,-4,105,21.5
47.15259138,N,27.59272357,E,184,-6,105,12.5
47.15257137,N,27.592606,E,184,-1,105,12
47.15253843,N,27.59244593,E,184,3,105,18
47.15250562,N,27.59226982,E,184,-1,105,16.5
47.15246413,N,27.59210385,E,184,-5,105,17.5
47.15242068,N,27.59192553,E,184,-10,105,15.5
47.15237575,N,27.59172232,E,184,2,105,22.5
47.15232962,N,27.59152415,E,184,-6,105,22.5
47.15229123,N,27.59133067,E,184,-10,105,22.5
47.15226288,N,27.59116128,E,184,-10,105,22.5
47.15224092,N,27.59100698,E,237,-1,105,25.5
47.15221373,N,27.59087302,E,237,-8,105,24.5
47.15219242,N,27.59075918,E,237,-7,105,24.5
47.15217283,N,27.59066378,E,216,1,105,24.5
47.15215498,N,27.59058495,E,216,1,105,23
47.15214058,N,27.59051883,E,216,1,105,26.5
47.15213305,N,27.59046863,E,216,2,105,28
47.1521287,N,27.5904376,E,216,-2,105,28.5
47.15212388,N,27.59041952,E,216,1,105,28
47.15212117,N,27.59041012,E,216,0,105,31.5
47.1521195,N,27.59040108,E,216,-1,105,28.5
47.1521181,N,27.59039437,E,216,-3,105,29.5
47.15211583,N,27.59039192,E,216,-4,105,29.5
47.15211828,N,27.59038957,E,216,-3,105,30.5
47.15211817,N,27.5903881,E,216,-3,105,33.5
47.15211823,N,27.59038618,E,216,-2,105,28.5
47.15211917,N,27.5903782,E,216,-1,105,29
47.15212197,N,27.59037652,E,216,-3,105,30
47.15212312,N,27.59037178,E,216,-1,105,28.5
47.15212082,N,27.59037137,E,216,-3,105,27.5
47.1521212,N,27.59037102,E,216,-3,105,29
47.1521231,N,27.59036867,E,216,-3,105,28.5
47.1521235,N,27.59036283,E,216,-3,105,28.5
47.15212357,N,27.59036113,E,216,-2,105,28.5
47.1521236,N,27.590361,E,216,-3,105,29
47.15212358,N,27.59036098,E,216,-3,105,29.5
47.15212357,N,27.59036092,E,216,-2,105,29
47.15212357,N,27.5903609,E,216,-3,105,29
47.15212357,N,27.59036093,E,216,-3,105,31
47.15212357,N,27.59036087,E,216,-4,105,31
47.15212353,N,27.59036083,E,216,-6,105,28.5
47.15212358,N,27.59036082,E,216,-5,105,29.5
47.15212357,N,27.5903608,E,216,-6,105,39
47.15212357,N,27.59036078,E,216,-3,105,29.5
47.15212358,N,27.59036082,E,216,-4,105,28.5
47.15212357,N,27.59036082,E,216,-4,105,29.5
47.15212355,N,27.59036083,E,216,-6,105,30
47.15212355,N,27.59036083,E,216,-4,105,28.5
47.15212335,N,27.59036077,E,216,-5,105,29.5
47.15212337,N,27.59036077,E,216,-6,105,29.5
47.15212335,N,27.59036077,E,216,-3,105,30
47.15212335,N,27.59036078,E,216,-2,105,28.5
47.15212333,N,27.59036078,E,216,-3,105,28.5
47.15212198,N,27.59036252,E,216,-6,105,29.5
47.15212417,N,27.59035493,E,216,-4,105,27.5
47.15212637,N,27.59035873,E,216,-5,105,27
47.15212723,N,27.59036128,E,216,-5,105,29
47.15212443,N,27.59036073,E,216,-6,105,30
47.15212387,N,27.59036305,E,216,-7,105,29
47.15212215,N,27.59036232,E,216,-3,105,29.5
47.15212018,N,27.59035813,E,216,-6,105,28
47.15211893,N,27.59035378,E,216,-5,105,28
47.1521173,N,27.59035003,E,216,-9,105,29.5
47.15211568,N,27.59034932,E,216,-6,105,28.5
47.15211257,N,27.59035212,E,216,-6,105,29
47.15211072,N,27.59035388,E,216,-8,105,29.5
47.15211057,N,27.59035377,E,216,-5,105,30
47.15211088,N,27.59035267,E,216,-7,105,28
47.15211082,N,27.59035198,E,216,-5,105,27.5
47.15211203,N,27.5903511,E,237,5,105,27.5
47.15211288,N,27.59035033,E,237,3,105,29
47.15211338,N,27.59034892,E,237,3,105,29.5
47.15211318,N,27.5903451,E,237,-1,105,28
47.15211255,N,27.59034027,E,237,-3,105,26.5
47.15211045,N,27.59033122,E,237,-7,105,27.5
47.15210827,N,27.59032197,E,218,-4,105,26
47.15210758,N,27.59031515,E,218,-2,105,34
47.1521071,N,27.59031235,E,218,-4,105,40
47.15210783,N,27.59030992,E,218,0,105,28.5
47.1521076,N,27.59030783,E,218,-2,105,27
47.15210835,N,27.59030533,E,218,0,105,30.5
47.15210887,N,27.59030372,E,218,-1,105,28.5
47.15210957,N,27.5903023,E,218,-2,105,34.5
47.15210995,N,27.5903004,E,218,0,105,28.5
47.15211047,N,27.5902998,E,218,-1,105,29
47.15211082,N,27.59029972,E,218,3,105,28.5
47.15210683,N,27.59028758,E,218,0,105,29.5
47.15209953,N,27.59026027,E,218,-4,105,31.5
47.15208987,N,27.59022158,E,218,-3,105,30
47.1520781,N,27.59017318,E,218,0,105,29.5
47.1520656,N,27.59011982,E,218,-1,105,27.5
47.15204748,N,27.59004355,E,218,1,105,25.5
47.15203352,N,27.58997288,E,218,0,105,29
47.15202028,N,27.58990218,E,218,0,105,28.5
47.15200435,N,27.58982728,E,218,-1,105,29.5
47.15198812,N,27.58975563,E,218,3,105,34
47.15197577,N,27.58968835,E,218,1,105,40
47.15196172,N,27.58961732,E,218,2,105,36
47.15194787,N,27.58955928,E,218,6,105,40
47.15193752,N,27.58952077,E,218,3,105,35
47.15193033,N,27.58949447,E,218,1,105,40
47.15192868,N,27.58947245,E,218,-3,105,33.5
47.15192825,N,27.58946328,E,218,-2,105,33
47.15192607,N,27.58945122,E,218,0,105,40
47.15192452,N,27.58944387,E,218,3,105,39
47.15192538,N,27.5894384,E,218,1,105,36
47.15193053,N,27.58943423,E,218,1,105,33.5
47.15193107,N,27.58943402,E,218,2,105,40
47.15193127,N,27.58943447,E,218,1,105,32.5
47.15193115,N,27.5894342,E,218,2,105,33.5
47.15193057,N,27.58943607,E,218,2,105,32.5
47.15193098,N,27.58943818,E,218,2,105,40
47.15193242,N,27.58943713,E,218,0,105,36
47.15193273,N,27.58943602,E,218,2,105,34
47.15193198,N,27.58943375,E,218,1,105,40
47.15193315,N,27.58943177,E,218,1,105,33
47.15193298,N,27.5894321,E,218,1,105,40
47.15193273,N,27.58943213,E,218,0,105,34.5
47.15193273,N,27.58943203,E,218,0,105,31.5
47.15193278,N,27.589432,E,218,0,105,35.5
47.15193255,N,27.58943178,E,218,3,105,37.5
47.15193243,N,27.58943168,E,218,0,105,34.5
47.15193208,N,27.58943142,E,218,5,105,31
47.15193208,N,27.58943138,E,218,4,105,40
47.15193208,N,27.58943132,E,218,4,105,33.5
47.1519321,N,27.58943128,E,218,3,105,40
47.15193212,N,27.58943127,E,218,1,105,33.5
47.15193212,N,27.58943122,E,218,1,105,32
47.15193207,N,27.58943118,E,218,1,105,40
47.15193207,N,27.58943112,E,218,0,105,40
